"id_vivienda","area_total","pisos","habitaciones","precio_uf","estaciona","bodega","antiguedad","tipo_vivienda","nombre_propiedad","descripcion","condicion","tipo_operacion","banos","area_construida","latitud","longitud","ubicacion","tipo_subsidio","fecha_creacion","links_contacto","id_vecindario","id_comuna","id_ciudad","id_region"
"MLC2761144322","195","","5","5100","","","","1","Casa 5 Dorm Y 3 Baños,  Condominio Terrazas De Puente Alto","Avenida El Peral 7078, Puente Alto, Chile","Usado","false","3","106","-33.5750787","-70.5413317","0101000020E610000070F2B62DA5A251C02790C82D9CC940C0","","2024-11-08 19:02:25.141131","[""https://casa.mercadolibre.cl/MLC-2761144322-casa-5-dorm-y-3-banos-condominio-terrazas-de-puente-alto-_JM""]","24","3","3","1"
"MLC2768094092","150","","3","17.3684210526316","","","","1","Hermosa Casa A Pasos De Mall Toabalaba. Acceso Controlado","Zaragoza 4178","Usado","true","1","60","-33.5639466","-70.5562855","0101000020E61000004C6F7F2E9AA351C05FD8F5662FC840C0","","2024-11-08 19:02:25.924609","[""https://casa.mercadolibre.cl/MLC-2768094092-hermosa-casa-a-pasos-de-mall-toabalaba-acceso-controlado-_JM""]","49","3","3","1"
"MLC2746265084","153","","4","5450","","","","1","Casa 3 Pisos Ciudad Del Sol Metro Las Mercedes.","ciudad del sol, puente alto,","Usado","false","3","153","-33.6008081","-70.5934614","0101000020E61000000E1C8645FBA551C00156A247E7CC40C0","","2024-11-08 19:02:26.748703","[""https://casa.mercadolibre.cl/MLC-2746265084-casa-3-pisos-ciudad-del-sol-metro-las-mercedes-_JM""]","13","3","3","1"
"MLC2696982718","167","","4","5300","","","","1","Casa En Venta De 4 Dorm. En Puente Alto","Av. San Carlos/ Av. Ejercito Libertador","Usado","false","3","108","-33.6301808","-70.5898981","0101000020E61000003EDEF5E3C0A551C09748B3C3A9D040C0","","2024-11-08 19:02:27.499266","[""https://casa.mercadolibre.cl/MLC-2696982718-casa-en-venta-de-4-dorm-en-puente-alto-_JM""]","","3","3","1"
"MLC1535575029","269","","3","5500","","","","1","Casa Cercana A Mall Plaza Tobalaba","C. Sánchez Fontecilla 3855","Usado","false","2","95","-33.5686869","-70.5513086","0101000020E61000003AC0DDA348A351C0F2947ABBCAC840C0","","2024-11-08 19:02:28.299757","[""https://casa.mercadolibre.cl/MLC-1535575029-casa-cercana-a-mall-plaza-tobalaba-_JM""]","24","3","3","1"
"MLC2737895924","115","","2","2110","","","","1","Casa Puente Alto","Tolpan 728","Usado","false","1","45","-33.5775945","-70.5912296","0101000020E6100000571BADB4D6A551C0BBECD79DEEC940C0","","2024-11-08 19:02:29.09159","[""https://casa.mercadolibre.cl/MLC-2737895924-casa-puente-alto-_JM""]","29","3","3","1"
"MLC1534081149","70","","3","13.6842105263158","","","","0","Arriendo Lindo Departamento En Condominio, Puente Alto","Av. Diego Portales 6300 - 6600","Usado","true","2","67","-33.5600995","-70.5487976","0101000020E6100000E407F87F1FA351C0C3802557B1C740C0","","2024-11-08 19:02:29.90775","[""https://departamento.mercadolibre.cl/MLC-1534081149-arriendo-lindo-departamento-en-condominio-puente-alto-_JM""]","45","3","3","1"
"MLC1507459931","175","","3","4400","","","","1","Casa Pukara De Lasana Interior Id: 39752","Pukara de Lasana Interior","Usado","false","3","96","-33.5894089","-70.5466587","0101000020E6100000BAA4C574FCA251C055BC36C071CB40C0","","2024-11-08 19:02:30.698233","[""https://casa.mercadolibre.cl/MLC-1507459931-casa-pukara-de-lasana-interior-id-39752-_JM""]","26","3","3","1"
"MLC2730468020","157","","3","2894.73684210526","","","","1","Casa San Ignacio Id: 140539","San Ignacio","Nuevo","false","1","80","-33.5847586","-70.5674773","0101000020E61000003B2E4F8C51A451C00287AB5ED9CA40C0","","2024-11-08 19:02:31.492729","[""https://casa.mercadolibre.cl/MLC-2730468020-casa-san-ignacio-id-140539-_JM""]","29","3","3","1"
"MLC2725103646","71","","3","2473.68421052632","","","","1","Casa De Dos Pisos En Venta- Sector Residencial Puente Alto","Pje. Cabo Metalqui 1800","Usado","false","2","65","-33.5739611","-70.6034649","0101000020E61000002C723E2B9FA651C08DD6AC8E77C940C0","","2024-11-08 19:02:32.28152","[""https://casa.mercadolibre.cl/MLC-2725103646-casa-de-dos-pisos-en-venta-sector-residencial-puente-alto-_JM""]","12","3","3","1"
"MLC2732053062","84","","4","15.7894736842105","","","","1","Arriendo Impecable Casa En Barrio Tranquilo Y Familiar","ARRIENDO IMPECABLE CASA EN BARRIO TRANQUILO Y FAMILIAR","Usado","true","1","84","-33.5703121","-70.5713251","0101000020E610000092F8269790A451C0AD01A5FCFFC840C0","","2024-11-08 19:02:33.068482","[""https://casa.mercadolibre.cl/MLC-2732053062-arriendo-impecable-casa-en-barrio-tranquilo-y-familiar-_JM""]","32","3","3","1"
"MLC2663335060","168","","3","3050","","","","1","Vendo Casa  De 3 Dormitorios. Av Central-pte Alto","Avenida Central 625, Puente Alto, Chile","Usado","false","2","103","-33.6073129","-70.5850458","0101000020E6100000616AF06371A551C02EF8D96DBCCD40C0","","2024-11-08 19:02:33.882494","[""https://casa.mercadolibre.cl/MLC-2663335060-vendo-casa-de-3-dormitorios-av-central-pte-alto-_JM""]","35","3","3","1"
