"id_vivienda","area_total","pisos","habitaciones","precio_uf","estaciona","bodega","antiguedad","tipo_vivienda","nombre_propiedad","descripcion","condicion","tipo_operacion","banos","area_construida","latitud","longitud","ubicacion","tipo_subsidio","fecha_creacion","links_contacto","id_vecindario","id_comuna","id_ciudad","id_region"
"MLC2426737208","176","","3","3684","","","","1","Paso Alto Nueva Etapa","Av. Camilo Henríquez 302","Nuevo","false","2","76.42","-33.5974679","-70.5317838","0101000020E6100000BA62EBBE08A251C0747401D479CC40C0","","2024-11-08 19:01:44.998239","[""https://casa.mercadolibre.cl/MLC-2426737208-paso-alto-nueva-etapa-_JM""]","28","3","3","1"
"MLC1375541677","322.12","","5","4559","","","","1","Altos Del Valle","Tobalaba 1050","Nuevo","false","3","124.29","-33.5909433","-70.5429745","0101000020E6100000F7031E18C0A251C029A5B107A4CB40C0","","2024-11-08 19:01:45.799274","[""https://casa.mercadolibre.cl/MLC-1375541677-altos-del-valle-_JM""]","26","3","3","1"
"MLC1375572047","248","","4","4730","","","","1","San Francisco","Calle Alberto Sartori 698, Puente Alto, Chile","Nuevo","false","4","104.77","-33.5979142","-70.5412075","0101000020E61000006536C824A3A251C03168D77388CC40C0","","2024-11-08 19:01:46.594389","[""https://casa.mercadolibre.cl/MLC-1375572047-san-francisco-_JM""]","26","3","3","1"
"MLC1588536266","84.95","","3","3390","","","","0","Alto Las Perdices Departamentos","Avenida Diego Portales 7080","Nuevo","false","2","79.85","-33.561693","-70.5407259","0101000020E61000006926CE409BA251C031B2648EE5C740C0","","2024-11-08 19:01:47.452299","[""https://departamento.mercadolibre.cl/MLC-1588536266-alto-las-perdices-departamentos-_JM""]","45","3","3","1"
"MLC1588548690","240","","3","4898","","","","1","Altavista Del Peñón","El Peral 7284","Nuevo","false","3","111.9","-33.5751551","-70.5392257","0101000020E61000006AAA82AC82A251C05650ACAE9EC940C0","","2024-11-08 19:01:48.270219","[""https://casa.mercadolibre.cl/MLC-1588548690-altavista-del-penon-_JM""]","24","3","3","1"
"MLC1599105442","74.62","","3","2827","","","","0","Cumbres Del Peral  Condominio Los Lirios","Avenida el Peral 06898","Nuevo","false","2","66.37","-33.5754685","-70.5413378","0101000020E6100000ABC54C47A5A251C068B0A9F3A8C940C0","","2024-11-08 19:01:49.088231","[""https://departamento.mercadolibre.cl/MLC-1599105442-cumbres-del-peral-condominio-los-lirios-_JM""]","24","3","3","1"
"MLC1564457526","91","","3","3629","","","","1","Altos Del Peñón","Cardenal Oviedo s/n","Nuevo","false","3","62","-33.5972588","-70.5509631","0101000020E610000061F3BBFA42A351C0C59FF2F972CC40C0","","2024-11-08 19:01:49.912622","[""https://casa.mercadolibre.cl/MLC-1564457526-altos-del-penon-_JM""]","26","3","3","1"
"MLC1378408971","122.23","","3","3084","","","","0","Condominio Los Jacintos","Av. El Peral 06896","Nuevo","false","2","75.84","-33.5739901","-70.5452866","0101000020E61000009C7CC4F9E5A251C028DDF18178C940C0","","2024-11-08 19:01:50.721709","[""https://departamento.mercadolibre.cl/MLC-1378408971-condominio-los-jacintos-_JM""]","24","3","3","1"
"MLC1564728362","58.13","","3","3080","","","","0","Condominio Altos Del Peñón","Cardenal Oviedo 570","Nuevo","false","2","56","-33.603063","-70.5435228","0101000020E610000058A8DA13C9A251C0BD361B2B31CD40C0","","2024-11-08 19:01:51.449989","[""https://departamento.mercadolibre.cl/MLC-1564728362-condominio-altos-del-penon-_JM""]","","3","3","1"
"MLC2551553844","195.07","","3","3990","","","","1","Conjunto Bicentenario","Independencia 1111","Nuevo","false","3","79.46","-33.6017304","-70.5890997","0101000020E610000057653ACFB3A551C02781728005CD40C0","","2024-11-08 19:01:52.273401","[""https://casa.mercadolibre.cl/MLC-2551553844-conjunto-bicentenario-_JM""]","13","3","3","1"
"MLC1422987373","160.14","","3","9073","","","","0","Alto Sierra - Etapa Ii","Av. Las Condes 13500","Nuevo","false","3","126.74","-33.3697382","-70.5059247","0101000020E6100000452FFE1161A051C07C8AD29453AF40C0","","2024-11-08 19:01:53.828258","[""https://departamento.mercadolibre.cl/MLC-1422987373-alto-sierra-etapa-ii-_JM""]","150","49","1","1"
"MLC2728424606","140","","3","17.3684210526316","","","","1","Casa Las Brisas Del Parque Norte Id: 102543","Las Brisas del Parque Norte","Usado","true","3","69","-33.6054739","-70.5384167","0101000020E6100000B287516B75A251C0718A332B80CD40C0","","2024-11-08 19:01:54.589514","[""https://casa.mercadolibre.cl/MLC-2728424606-casa-las-brisas-del-parque-norte-id-102543-_JM""]","","3","3","1"
"MLC2725593160","127","","3","17.8947368421053","","","","1","Casa Pasaje Geysers Del Tatio Oriente Id: 138553","Pasaje Geysers del Tatio Oriente","Nuevo","true","3","127","-33.590177","-70.5448497","0101000020E610000011AF46D1DEA251C0FAEC80EB8ACB40C0","","2024-11-08 19:01:55.378184","[""https://casa.mercadolibre.cl/MLC-2725593160-casa-pasaje-geysers-del-tatio-oriente-id-138553-_JM""]","26","3","3","1"
"MLC2755256370","100","","3","16.5789473684211","","","","1","Casa Avenida México Id: 132464","Avenida México","Usado","true","2","70","-33.5905676","-70.5610359","0101000020E610000071981E03E8A351C0E20918B897CB40C0","","2024-11-08 19:01:56.173689","[""https://casa.mercadolibre.cl/MLC-2755256370-casa-avenida-mexico-id-132464-_JM""]","27","3","3","1"
"MLC1481093945","58.67","","3","2900","","","","0","Venta Departamento En Condominio.","Luis Matte Larraín 315, Puente Alto, Chile","Usado","false","2","61.06","-33.5859913","-70.5845227","0101000020E61000004111E6D168A551C0CA9E4EC301CB40C0","","2024-11-08 19:01:56.957156","[""https://departamento.mercadolibre.cl/MLC-1481093945-venta-departamento-en-condominio-_JM""]","29","3","3","1"
"MLC1534584905","200","","3","4980","","","","1","Casa En Venta De 3d 2b Puertezuelo De Tobalaba","Cond. Portezuelo de Tobalaba | Casa en Venta 3D 2B | Walker and Partners","Nuevo","false","2","120","-33.5846331","-70.5506681","0101000020E6100000D41C6A253EA351C05D54E641D5CA40C0","","2024-11-08 19:01:57.714838","[""https://casa.mercadolibre.cl/MLC-1534584905-casa-en-venta-de-3d-2b-puertezuelo-de-tobalaba-_JM""]","","3","3","1"
"MLC2766332840","157","","3","13.1578947368421","","","","1","Casa San Ignacio Id: 140539","San Ignacio","Nuevo","true","1","80","-33.5847586","-70.5674773","0101000020E61000003B2E4F8C51A451C00287AB5ED9CA40C0","","2024-11-08 19:01:58.528732","[""https://casa.mercadolibre.cl/MLC-2766332840-casa-san-ignacio-id-140539-_JM""]","29","3","3","1"
"MLC2694607374","165","","3","4200","","","","1","Casa En Venta De 3 Dorm. En Puente Alto","Portezuelo del Cepo","Usado","false","2","68","-33.5875197","-70.530801","0101000020E6100000C8EBC1A4F8A151C0BCA074D833CB40C0","","2024-11-08 19:01:59.377827","[""https://casa.mercadolibre.cl/MLC-2694607374-casa-en-venta-de-3-dorm-en-puente-alto-_JM""]","28","3","3","1"
"MLC2769881122","130","","3","4900","","","","1","Preciosa Casa En Tranquilo Pasaje, Muy Conectada","El Trevo 3860, 8.2209e+06 - 8.2212e+06 Puente Alto, Región Metropolitana, Chile","Usado","false","2","120","-33.5714332","-70.5822451","0101000020E610000066B0F38043A551C0A0EC1CB924C940C0","","2024-11-08 19:02:00.202514","[""https://casa.mercadolibre.cl/MLC-2769881122-preciosa-casa-en-tranquilo-pasaje-muy-conectada-_JM""]","32","3","3","1"
"MLC2750616934","300","","4","6090","","","","1","Gran Quincho Y Piscina - Como Nueva","La Montura, Puente Alto, Chile","Usado","false","3","140","-33.5838252","-70.5135792","0101000020E6100000F9F94A7BDEA051C0534ABEC8BACA40C0","","2024-11-08 19:02:00.992877","[""https://casa.mercadolibre.cl/MLC-2750616934-gran-quincho-y-piscina-como-nueva-_JM""]","28","3","3","1"
"MLC2767877758","200","","3","4447.36842105263","","","","1","Vendo Casa En Las Perdices, Puente Alto","El Pitotoy","Usado","false","2","80","-33.5531019","-70.5522457","0101000020E6100000D33659FE57A351C080ED050BCCC640C0","","2024-11-08 19:02:01.829557","[""https://casa.mercadolibre.cl/MLC-2767877758-vendo-casa-en-las-perdices-puente-alto-_JM""]","25","3","3","1"
"MLC2439452554","68.42","","3","4890","","","","1","Proyecto De 48 Casas En Condominio - Entrega 4°trimest. 2024","Juan de Dios Malebrán & Domingo Tocornal","Nuevo","false","2","68.42","-33.6040943","-70.5877017","0101000020E61000006E5397E79CA551C09A1947F652CD40C0","","2024-11-08 19:02:02.672274","[""https://casa.mercadolibre.cl/MLC-2439452554-proyecto-de-48-casas-en-condominio-entrega-4trimest-2024-_JM""]","13","3","3","1"
"MLC2744815104","48","","3","921.052631578947","","","","0","Departamento 3 Dormitorios 1 Matrimonial Y 2 Pequeños","Avenida Juanita 01430","","false","1","48","-33.6285629","-70.6119766","0101000020E6100000B5BAE69F2AA751C04D7DC5BF74D040C0","","2024-11-08 19:02:03.491993","[""https://departamento.mercadolibre.cl/MLC-2744815104-departamento-3-dormitorios-1-matrimonial-y-2-pequenos-_JM""]","52","3","3","1"
"MLC2744338458","1000","","10","43780","","","","1","Esquina Plaza Pte Alto 5 Casas 1000mts2","Santo Domingo 290","","false","10","1000","-33.609647","-70.5776431","0101000020E6100000A5D0C31AF8A451C0618DB3E908CE40C0","","2024-11-08 19:02:04.30432","[""https://casa.mercadolibre.cl/MLC-2744338458-esquina-plaza-pte-alto-5-casas-1000mts2-_JM""]","35","3","3","1"
"MLC1541867219","315","","3","6289.47368421053","","","","1","Casa En Venta De 3 Dorm. En Puente Alto","HACIENDA EL PEÑÓN","Usado","false","2","94","-33.5833865","-70.5113508","0101000020E610000024B2B4F8B9A051C0C636A968ACCA40C0","","2024-11-08 19:02:05.10855","[""https://casa.mercadolibre.cl/MLC-1541867219-casa-en-venta-de-3-dorm-en-puente-alto-_JM""]","28","3","3","1"
"MLC1363690017","450","","5","9868.42105263158","","","","1","Rebajada! Loteo Las Vizcachas, Hermosa Casa 5d 3b ","Loteo Las Vizcachas, PRECIO REBAJADO","Usado","false","3","233","-33.5983558","-70.5119053","0101000020E61000008A89720EC3A051C09B2F40EC96CC40C0","","2024-11-08 19:02:05.900748","[""https://casa.mercadolibre.cl/MLC-1363690017-rebajada-loteo-las-vizcachas-hermosa-casa-5d-3b-_JM""]","28","3","3","1"
"MLC2594695176","366","","5","7500","","","","1","Casa En Venta De 5 Dorm. En Hacienda El Peñón, Puente Alto","HACIENDA EL PEÑON","Nuevo","false","4","134","-33.5876458","-70.5097285","0101000020E6100000B45549649FA051C0DD5042FA37CB40C0","","2024-11-08 19:02:06.690989","[""https://casa.mercadolibre.cl/MLC-2594695176-casa-en-venta-de-5-dorm-en-hacienda-el-penon-puente-alto-_JM""]","28","3","3","1"
"MLC1501272365","800","","3","11289.4736842105","","","","1","Loteo Las Vizcachas, Hermosa Casa Con Hermoso Jardin","camino san jose de maipo 06997","Nuevo","false","3","140","-33.5981085","-70.5118626","0101000020E6100000EAC2595BC2A051C0D57ABFD18ECC40C0","","2024-11-08 19:02:07.498987","[""https://casa.mercadolibre.cl/MLC-1501272365-loteo-las-vizcachas-hermosa-casa-con-hermoso-jardin-_JM""]","28","3","3","1"
"MLC1486110283","273.83","","4","8500","","","","1","Hacienda El Peñón, Se Vende Hermosa Casa En Condominio ","Hacienda el Peñón, Puente Alto","Usado","false","3","125","-33.5833788","-70.5113633","0101000020E6100000FA77222DBAA051C001971128ACCA40C0","","2024-11-08 19:02:08.300781","[""https://casa.mercadolibre.cl/MLC-1486110283-hacienda-el-penon-se-vende-hermosa-casa-en-condominio-_JM""]","28","3","3","1"
"MLC1467854147","320","","3","6026.31578947368","","","","1","Hacienda El Peñon, Bella Casa Modelo Arrayan En Condominio","Hacienda El Peñon","Usado","false","2","94","-33.5913733","-70.509503","0101000020E6100000B08D78B29BA051C0229DCB1EB2CB40C0","","2024-11-08 19:02:09.095609","[""https://casa.mercadolibre.cl/MLC-1467854147-hacienda-el-penon-bella-casa-modelo-arrayan-en-condominio-_JM""]","28","3","3","1"
"MLC1461999037","212","","3","5394.73684210526","","","","1","Hacienda El Peñon, Excelente Precio","LA tejas","Usado","false","3","83","-33.5833788","-70.5113633","0101000020E6100000FA77222DBAA051C001971128ACCA40C0","","2024-11-08 19:02:09.920969","[""https://casa.mercadolibre.cl/MLC-1461999037-hacienda-el-penon-excelente-precio-_JM""]","28","3","3","1"
"MLC1442223157","375","","5","8600","","","","1","Hacienda El Peñón, Se Vende Hermosa Casa En Condominio ","Hacienda el Peñón, Puente Alto","Usado","false","4","126","-33.5833788","-70.5113633","0101000020E6100000FA77222DBAA051C001971128ACCA40C0","","2024-11-08 19:02:10.735632","[""https://casa.mercadolibre.cl/MLC-1442223157-hacienda-el-penon-se-vende-hermosa-casa-en-condominio-_JM""]","28","3","3","1"
"MLC1541802631","300","","4","6578.94736842105","","","","1","Casa En Venta De 4 Dorm. En Puente Alto","HACIENDA EL PEÑÓN","Nuevo","false","3","108","-33.5833865","-70.5113508","0101000020E610000024B2B4F8B9A051C0C636A968ACCA40C0","","2024-11-08 19:02:11.523749","[""https://casa.mercadolibre.cl/MLC-1541802631-casa-en-venta-de-4-dorm-en-puente-alto-_JM""]","28","3","3","1"
"MLC1659648262","309","","3","8900","","","","1","Rebajada, Hacienda El Peñón, Hermosa Casa En Condominio ","Hacienda el Peñón, Puente Alto","Usado","false","0","132","-33.5833788","-70.5113633","0101000020E6100000FA77222DBAA051C001971128ACCA40C0","","2024-11-08 19:02:12.324748","[""https://casa.mercadolibre.cl/MLC-1659648262-rebajada-hacienda-el-penon-hermosa-casa-en-condominio-_JM""]","28","3","3","1"
"MLC1538070461","320","","3","7052.63157894737","","","","1","Casa En Venta De 3 Dorm. En Puente Alto, Hacienda El Peñon","HACIENDA EL PEÑON","Usado","false","3","122","-33.5833865","-70.5113508","0101000020E610000024B2B4F8B9A051C0C636A968ACCA40C0","","2024-11-08 19:02:13.124246","[""https://casa.mercadolibre.cl/MLC-1538070461-casa-en-venta-de-3-dorm-en-puente-alto-hacienda-el-penon-_JM""]","28","3","3","1"
